"time","first_hit","first","second_hit","second","third","fourth","over"
519,1,400000000,13,29071700,529800,9900,370281518
518,0,0,330,955500,778500,15900,350353170
517,5,63548100,21,13617300,465600,8000,0
516,7,47592700,17,17637100,472100,9600,0
515,2,158927600,10,28606700,519300,10300,0
514,4,162511800,16,23890600,716700,8500,0
513,2,400000000,22,20622800,557800,10300,225321048
512,0,0,15,23500600,726800,12100,521203478
511,1,200000000,16,18535400,601100,11000,129522708
510,2,165406800,9,33081000,775000,12700,0
509,8,33283400,21,11411300,318800,6300,0
508,2,160256700,18,16025500,563700,10700,0
507,5,94246300,26,12669000,375000,10000,0
506,1,200000000,14,19621900,420400,8500,105233732
505,2,173454100,9,34690500,672600,12200,0
504,2,389247400,10,39587600,632500,10900,0
503,0,0,11,27705600,838700,11400,338627846
502,3,112499300,20,15187200,553100,9900,0
501,3,250666200,36,10556000,451500,8500,0
500,0,0,21,14132000,649800,10700,329751773
499,5,61831300,15,18549200,276800,6600,0
498,3,122945500,6,55324900,881200,13300,0
497,2,168004700,13,23261900,593900,10600,0
496,2,174851300,15,20981900,624200,11100,0
495,2,172205100,15,20664400,575700,10700,0
494,2,275247400,31,11251900,507300,9300,0
493,1,200000000,11,29693400,865200,13600,162923672
492,3,112832800,31,9827200,247800,7900,0
491,2,175121000,10,31521500,607100,10500,0
490,9,38002200,21,14657800,355100,8200,0
489,2,165569500,14,21287300,430300,9000,0
488,6,95637700,10,38775600,732700,11900,0
487,1,200000000,20,15434000,509500,8900,142982442
486,2,183823800,18,18382200,759100,11000,0
485,5,169451600,19,22757000,574500,9600,0
484,0,0,15,22009400,650500,11400,366827066
483,5,117617400,20,18129500,430800,8600,0
482,1,200000000,13,26667800,810900,12200,185205326
481,7,52528600,24,13788600,461700,9100,0
480,5,162529400,26,16565200,480300,9400,0
479,0,0,23,13073000,525200,8600,334091926
478,4,97985600,22,16033800,551800,10000,0
477,2,185142100,10,33325200,740500,12400,0
476,5,69405900,21,14872500,471400,8800,0
475,5,66677900,19,15792000,510700,8600,0
474,4,84734500,10,30504100,574600,10100,0
473,4,86978400,13,24086100,540600,9800,0
472,5,108556500,33,10762700,409400,9400,0
471,1,200000000,29,10804300,483200,9900,148143871
470,3,190687700,18,20823600,444800,9400,0
469,1,200000000,22,14546600,633700,10200,155586703
468,6,96632000,20,18813600,578100,11000,0
467,1,200000000,15,21702200,849200,13300,161707398
466,2,282223000,18,20534400,829000,13100,0
465,1,200000000,32,9949200,606400,11100,153752840
464,3,115943100,21,14906800,410500,11400,0
463,2,302909200,14,28016500,575400,9900,0
462,1,400000000,17,21944700,579100,10100,170002065
461,1,200000000,23,13910200,734000,11800,155487414
460,2,181193700,21,15530700,742600,11600,0
459,5,66346300,42,7108400,459300,8600,0
458,2,389430700,20,19004800,665800,11600,0
457,0,0,8,40109000,787400,13600,356528307
456,6,124171600,24,15005200,328800,6800,0
455,0,0,5,62079200,852300,13200,344887602
454,2,172374800,20,15513500,575400,10200,0
453,4,139198600,25,14468400,466200,8600,0
452,1,200000000,15,21293200,655100,11500,154890181
451,3,115968300,16,19569400,559100,9800,0
450,2,187581700,14,24117400,1023100,15300,0
449,3,267032600,16,25781200,724700,11900,0
448,0,0,7,44068800,668100,11100,342760382
447,4,88208400,11,28867900,618500,12100,0
446,8,38559600,22,12619400,289600,6400,0
445,3,121570500,23,14271200,733400,12700,0
444,7,46888600,27,10940500,360600,7900,0
443,3,119517000,22,14667800,579600,10200,0
442,2,307923300,18,21654100,827800,12900,0
441,1,200000000,18,19137800,784300,13100,182760744
440,2,290149600,25,14622000,612600,9400,0
439,1,200000000,16,21044500,705100,12300,174128470
438,3,180663800,14,25193200,445000,8200,0
437,1,200000000,16,19692500,545500,9800,150092785
436,12,28645400,37,8361200,307300,7100,0
435,5,68935600,45,6893500,240700,7100,0
434,2,177908600,19,16854300,433700,7900,0
433,2,311043700,26,14741200,462700,8700,0
432,1,200000000,15,23773300,731400,12600,196225409
431,5,80148800,21,17174500,607000,11000,0
430,9,45402100,17,21632600,461100,10800,0
429,6,124626900,39,11241000,409400,9000,0
428,2,400000000,20,25168300,835400,13500,260645829
427,1,400000000,23,20406200,533800,8900,501345283
426,0,0,16,21366100,621500,10500,379846586
425,3,126522400,23,14852500,677500,10700,0
424,5,73205100,22,14973600,510700,9200,0
423,7,54458300,12,28590300,547400,11900,0
422,6,175377500,27,16483000,484600,8500,0
421,0,0,17,21128600,546900,9100,557769048
420,1,200000000,16,20174900,578100,12300,158669748
419,6,56856200,22,13955400,412100,8400,0
418,5,68409400,21,14659000,367200,7700,0
417,7,47161500,18,16506300,402400,8100,0
416,4,83817100,37,8155100,480200,8400,0
415,3,122294100,14,23585000,904600,11900,0
